,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,1.0,0.6666666666666666,0.75,0.75,0.8333333333333333,0.9772727272727273
1,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.9772727272727273
2,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.5
3,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.7348484848484849
4,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.48484848484848486
5,1.0,1.0,0.6666666666666666,0.5,0.5,0.7333333333333333,0.5
6,1.0,1.0,0.6666666666666666,0.5,0.5,0.7333333333333333,0.5
7,1.0,1.0,0.6666666666666666,0.5,0.5,0.7333333333333333,0.5
8,1.0,1.0,0.6666666666666666,0.5,0.5,0.7333333333333333,0.5
9,1.0,1.0,0.6666666666666666,0.5,0.5,0.7333333333333333,0.5
10,1.0,1.0,0.6666666666666666,0.5,0.5,0.7333333333333333,0.5
