,Unnamed: 0,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,0.0,0.45454545454545453,0.36363636363636365,0.303030303030303,0.2727272727272727,0.36363636363636365,0.3515151515151515,0.8071625344352618
1,1.0,0.36363636363636365,0.3181818181818182,0.30303030303030304,0.3409090909090909,0.4090909090909091,0.34696969696969693,0.8064738292011019
2,2.0,0.09090909090909091,0.22727272727272727,0.2121212121212121,0.25,0.3181818181818182,0.2196969696969697,0.4331955922865014
3,3.0,0.09090909090909091,0.22727272727272727,0.3333333333333333,0.36363636363636365,0.4090909090909091,0.2848484848484848,0.5454545454545455
4,4.0,0.2727272727272727,0.4090909090909091,0.303030303030303,0.22727272727272727,0.22727272727272727,0.28787878787878785,0.37878787878787884
5,5.0,0.18181818181818182,0.18181818181818182,0.2121212121212121,0.20454545454545456,0.3181818181818182,0.2196969696969697,0.621900826446281
6,6.0,0.18181818181818182,0.18181818181818182,0.2121212121212121,0.25,0.3181818181818182,0.2287878787878788,0.6349862258953167
7,7.0,0.18181818181818182,0.2727272727272727,0.27272727272727276,0.29545454545454547,0.38636363636363635,0.28181818181818175,0.6487603305785123
8,8.0,0.18181818181818182,0.4090909090909091,0.33333333333333337,0.36363636363636365,0.45454545454545453,0.3484848484848484,0.6666666666666666
9,9.0,0.36363636363636365,0.5,0.36363636363636365,0.38636363636363635,0.5227272727272727,0.4272727272727273,0.6763085399449036
10,10.0,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.38636363636363635,0.5,0.4318181818181817,0.6769972451790633
