,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.9848484848484849
1,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.9848484848484849
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.25,0.25,0.1,0.25
4,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727
5,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.7575757575757576
6,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.7803030303030303
7,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.803030303030303
8,1.0,0.5,0.3333333333333333,0.25,0.5,0.5166666666666666,0.8712121212121212
9,1.0,0.5,0.3333333333333333,0.25,0.5,0.5166666666666666,0.9015151515151515
10,1.0,0.5,0.3333333333333333,0.25,0.5,0.5166666666666666,0.9090909090909091
