,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337
1,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,1.0,0.6666666666666666,0.5,0.5,0.7333333333333333,0.5
4,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.25
5,0.0,0.5,0.3333333333333333,0.5,0.5,0.36666666666666664,0.946969696969697
6,0.0,0.0,0.3333333333333333,0.5,0.75,0.31666666666666665,0.9696969696969697
7,0.0,0.0,0.3333333333333333,0.5,0.75,0.31666666666666665,0.9696969696969697
8,0.0,0.0,0.3333333333333333,0.5,0.75,0.31666666666666665,0.9696969696969697
9,0.0,0.0,0.3333333333333333,0.5,0.75,0.31666666666666665,0.9696969696969697
10,0.0,0.0,0.3333333333333333,0.5,0.75,0.31666666666666665,0.9621212121212122
