,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.1,0.15,0.2,0.2,0.25,0.18,0.6424242424242425
CloudRanger,0.1,0.15,0.2333333333333333,0.2,0.25,0.18666666666666668,0.6431818181818182
DyCause+linear,0.2,0.35,0.5,0.45,0.475,0.3949999999999999,0.5204545454545454
DyCause+prla,0.1,0.25,0.4666666666666666,0.525,0.625,0.39333333333333326,0.621969696969697
DyCause+BPMF,0.5,0.55,0.5333333333333333,0.475,0.5,0.5116666666666667,0.5916666666666667
MicroCI4:1,0.2,0.2,0.36666666666666664,0.375,0.5,0.32833333333333325,0.668939393939394
MicroCI3:1,0.1,0.3,0.4,0.4,0.525,0.3449999999999999,0.6757575757575759
MicroCI2:1,0.0,0.3,0.4333333333333333,0.45,0.55,0.34666666666666657,0.6833333333333333
MicroCI1:1,0.0,0.35,0.4999999999999999,0.475,0.6,0.3849999999999999,0.6886363636363637
MicroCI1:2,0.0,0.35,0.4999999999999999,0.5,0.575,0.3849999999999999,0.6893939393939394
MicroCI1:3,0.0,0.3,0.4999999999999999,0.5,0.6,0.38,0.6893939393939394
