,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590909090909091
1,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.44696969696969696
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.6363636363636364
4,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.6363636363636364
5,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.6363636363636364
6,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.6742424242424242
7,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.696969696969697
8,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.7045454545454546
