,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.6818181818181819
1,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.46212121212121215
2,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.8863636363636364
3,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.7045454545454546
4,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.7196969696969697
5,1.0,0.5,0.3333333333333333,0.5,0.5,0.5666666666666667,0.7651515151515151
6,1.0,0.5,0.6666666666666666,0.5,0.5,0.6333333333333333,0.8106060606060606
7,1.0,0.5,0.6666666666666666,0.5,0.5,0.6333333333333333,0.8409090909090908
8,1.0,0.5,0.6666666666666666,0.5,0.5,0.6333333333333333,0.8560606060606061
