,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,0.0,0.0,0.0,0.0,0.25,0.05,0.8106060606060607
1,0.0,0.0,0.0,0.0,0.0,0.0,0.7803030303030303
2,0.0,0.5,0.6666666666666666,0.75,0.75,0.5333333333333333,0.75
3,1.0,1.0,0.6666666666666666,0.75,0.75,0.8333333333333333,0.75
4,1.0,1.0,0.6666666666666666,0.5,0.5,0.7333333333333333,0.5
5,0.0,0.0,0.3333333333333333,0.25,0.5,0.21666666666666665,0.9318181818181819
6,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.946969696969697
7,1.0,1.0,0.6666666666666666,0.5,0.5,0.7333333333333333,0.9621212121212122
8,1.0,1.0,0.6666666666666666,0.75,1.0,0.8833333333333332,0.9924242424242424
9,1.0,1.0,0.6666666666666666,0.75,1.0,0.8833333333333332,0.9924242424242424
10,1.0,1.0,0.6666666666666666,0.75,1.0,0.8833333333333332,0.9924242424242424
