,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.1,0.175,0.2,0.175,0.225,0.17500000000000002,0.6333333333333333
CloudRanger,0.05,0.125,0.21666666666666665,0.175,0.225,0.15833333333333333,0.6329545454545455
DyCause+linear,0.15,0.325,0.5,0.4625,0.5,0.3875,0.5446969696969697
DyCause+prla,0.1,0.25,0.4666666666666667,0.5,0.625,0.3883333333333333,0.656060606060606
DyCause+BPMF,0.4,0.425,0.4,0.35,0.3625,0.38750000000000007,0.4083333333333334
MicroCI4:1,0.2,0.25,0.33333333333333326,0.4,0.525,0.3416666666666666,0.6863636363636364
MicroCI3:1,0.1,0.3,0.38333333333333325,0.4125,0.575,0.35416666666666663,0.6928030303030303
MicroCI2:1,0.1,0.325,0.41666666666666663,0.4625,0.6125,0.38333333333333325,0.699621212121212
MicroCI1:1,0.15,0.4,0.5166666666666667,0.5125,0.65,0.4458333333333332,0.7037878787878787
MicroCI1:2,0.15,0.4,0.5333333333333333,0.5375,0.6375,0.45166666666666655,0.7045454545454545
MicroCI1:3,0.15,0.375,0.5333333333333333,0.5375,0.65,0.4491666666666666,0.7045454545454545
