,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.9772727272727273
1,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.9696969696969697
2,0.0,0.5,0.6666666666666666,0.75,0.75,0.5333333333333333,0.75
3,0.0,0.5,0.6666666666666666,0.5,0.5,0.4333333333333333,0.5
4,0.0,0.5,0.3333333333333333,0.5,0.75,0.41666666666666663,0.7424242424242424
5,1.0,1.0,1.0,0.75,0.75,0.9,0.75
6,1.0,1.0,1.0,0.75,0.75,0.9,0.75
7,1.0,1.0,1.0,0.75,0.75,0.9,0.75
8,1.0,1.0,1.0,0.75,0.75,0.9,0.75
9,1.0,1.0,1.0,0.75,0.75,0.9,0.75
10,1.0,1.0,1.0,0.75,0.75,0.9,0.75
