,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.7,0.4,0.3666666666666667,0.4,0.425,0.4583333333333333,0.8265151515151515
CloudRanger,0.7,0.4,0.3666666666666667,0.35,0.425,0.44833333333333336,0.8196969696969697
DyCause+linear,0.0,0.15,0.4,0.425,0.425,0.27999999999999997,0.5136363636363637
DyCause+prla,0.1,0.35,0.4,0.425,0.5,0.3549999999999999,0.5431818181818182
DyCause+BPMF,0.3,0.35,0.3333333333333333,0.35,0.35,0.33666666666666667,0.39090909090909093
MicroCI4:1,0.1,0.15,0.19999999999999998,0.275,0.35,0.215,0.7553030303030304
MicroCI3:1,0.1,0.1,0.19999999999999998,0.325,0.45,0.23499999999999996,0.775
MicroCI2:1,0.1,0.1,0.3,0.425,0.525,0.2899999999999999,0.7977272727272728
MicroCI1:1,0.1,0.2,0.36666666666666664,0.45,0.625,0.34833333333333333,0.8151515151515152
MicroCI1:2,0.1,0.2,0.36666666666666664,0.5,0.65,0.3633333333333333,0.821969696969697
MicroCI1:3,0.1,0.2,0.36666666666666664,0.5,0.65,0.3633333333333333,0.825
