,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.3333333333333333,0.25,0.5,0.5166666666666666,0.9090909090909091
1,1.0,0.5,0.3333333333333333,0.25,0.5,0.5166666666666666,0.8939393939393939
2,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.7348484848484849
3,0.0,0.5,0.6666666666666666,0.75,0.75,0.5333333333333333,0.75
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.5,0.6666666666666666,0.5,0.75,0.4833333333333333,0.7424242424242424
6,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.75
7,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.75
8,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.75
9,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.75
10,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.75
