,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.3333333333333333,0.5,0.75,0.6166666666666666,0.9772727272727273
1,1.0,0.5,0.3333333333333333,0.5,0.75,0.6166666666666666,0.9772727272727273
2,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
3,0.0,0.5,0.6666666666666666,0.5,0.5,0.4333333333333333,0.5
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.5,0.6666666666666666,0.75,1.0,0.7833333333333333,0.9924242424242424
6,1.0,1.0,1.0,0.75,1.0,0.95,0.9924242424242424
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
