,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,1.0,0.6666666666666666,0.75,1.0,0.8833333333333332,0.9924242424242424
1,1.0,1.0,0.6666666666666666,0.75,1.0,0.8833333333333332,0.9924242424242424
2,0.0,0.5,0.3333333333333333,0.5,0.75,0.41666666666666663,0.7424242424242424
3,1.0,0.5,0.6666666666666666,0.75,1.0,0.7833333333333333,0.9924242424242424
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.23484848484848486
6,0.0,0.0,0.0,0.0,0.0,0.0,0.23484848484848486
7,0.0,0.0,0.0,0.0,0.25,0.05,0.24242424242424243
8,0.0,0.0,0.0,0.25,0.25,0.1,0.25
9,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
10,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
