,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.4444444444444444,0.3611111111111111,0.37037037037037046,0.3611111111111111,0.4305555555555556,0.3935185185185185,0.7146464646464646
CloudRanger,0.3333333333333333,0.2777777777777778,0.2962962962962963,0.3333333333333333,0.3888888888888889,0.3259259259259259,0.6797138047138047
DyCause+linear,0.1111111111111111,0.19444444444444445,0.2222222222222222,0.2222222222222222,0.2916666666666667,0.20833333333333331,0.37247474747474746
DyCause+prla,0.0,0.1388888888888889,0.25925925925925924,0.3194444444444444,0.3611111111111111,0.2157407407407407,0.4528619528619529
DyCause+BPMF,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.1388888888888889,0.16666666666666666,0.1722222222222222,0.25084175084175087
MicroCI4:1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.125,0.20833333333333334,0.13333333333333333,0.4638047138047139
MicroCI3:1,0.1111111111111111,0.1111111111111111,0.12962962962962962,0.1527777777777778,0.2222222222222222,0.14537037037037034,0.47390572390572394
MicroCI2:1,0.1111111111111111,0.16666666666666666,0.1851851851851852,0.20833333333333334,0.2638888888888889,0.187037037037037,0.48779461279461295
MicroCI1:1,0.1111111111111111,0.2222222222222222,0.25925925925925924,0.2777777777777778,0.3333333333333333,0.24074074074074073,0.5033670033670034
MicroCI1:2,0.16666666666666666,0.2777777777777778,0.27777777777777773,0.3055555555555556,0.375,0.28055555555555556,0.5122053872053871
MicroCI1:3,0.16666666666666666,0.3055555555555556,0.27777777777777773,0.3055555555555556,0.3888888888888889,0.2888888888888888,0.5147306397306397
