,Unnamed: 0,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,0.0,0.5294117647058824,0.4117647058823529,0.411764705882353,0.39705882352941174,0.4852941176470588,0.44705882352941173,0.8605169340463457
1,1.0,0.4117647058823529,0.3235294117647059,0.3529411764705882,0.39705882352941174,0.47058823529411764,0.39117647058823524,0.8270944741532976
2,2.0,0.11764705882352941,0.20588235294117646,0.23529411764705882,0.25,0.3235294117647059,0.2264705882352941,0.4340463458110517
3,3.0,0.058823529411764705,0.20588235294117646,0.3333333333333333,0.38235294117647056,0.4264705882352941,0.2813725490196078,0.5508021390374331
4,4.0,0.23529411764705882,0.3235294117647059,0.25490196078431376,0.20588235294117646,0.23529411764705882,0.25098039215686274,0.33244206773618545
5,5.0,0.11764705882352941,0.14705882352941177,0.1764705882352941,0.19117647058823528,0.29411764705882354,0.18529411764705883,0.5837789661319074
6,6.0,0.11764705882352941,0.14705882352941177,0.17647058823529413,0.22058823529411764,0.3088235294117647,0.1941176470588235,0.5962566844919787
7,7.0,0.11764705882352941,0.20588235294117646,0.23529411764705882,0.27941176470588236,0.36764705882352944,0.24117647058823527,0.6109625668449199
8,8.0,0.11764705882352941,0.29411764705882354,0.31372549019607837,0.35294117647058826,0.4411764705882353,0.303921568627451,0.6270053475935828
9,9.0,0.23529411764705882,0.35294117647058826,0.33333333333333326,0.38235294117647056,0.4852941176470588,0.35784313725490197,0.6363636363636362
10,10.0,0.23529411764705882,0.38235294117647056,0.33333333333333326,0.38235294117647056,0.4852941176470588,0.3637254901960783,0.6381461675579323
