,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.4,0.4,0.36666666666666664,0.4,0.475,0.4083333333333333,0.8954545454545455
CloudRanger,0.4,0.35,0.39999999999999997,0.425,0.475,0.41000000000000003,0.8939393939393939
DyCause+linear,0.1,0.2,0.2333333333333333,0.275,0.275,0.21666666666666665,0.4053030303030303
DyCause+prla,0.1,0.3,0.3333333333333333,0.35,0.375,0.29166666666666663,0.5636363636363637
DyCause+BPMF,0.2,0.15,0.19999999999999998,0.225,0.225,0.2,0.2696969696969697
MicroCI4:1,0.3,0.15,0.2333333333333333,0.2,0.25,0.22666666666666663,0.5234848484848484
MicroCI3:1,0.3,0.2,0.2333333333333333,0.225,0.3,0.25166666666666665,0.5416666666666667
MicroCI2:1,0.3,0.25,0.23333333333333334,0.25,0.325,0.27166666666666667,0.5583333333333333
MicroCI1:1,0.2,0.3,0.3,0.325,0.425,0.30999999999999994,0.5727272727272729
MicroCI1:2,0.2,0.3,0.36666666666666664,0.375,0.45,0.33833333333333326,0.5787878787878789
MicroCI1:3,0.2,0.3,0.36666666666666664,0.375,0.45,0.33833333333333326,0.5795454545454545
