,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.2,0.2,0.19999999999999998,0.225,0.25,0.215,0.6848484848484849
CloudRanger,0.3,0.2,0.2,0.2,0.3,0.24,0.6886363636363637
DyCause+linear,0.2,0.35,0.4,0.475,0.525,0.38999999999999996,0.5931818181818183
DyCause+prla,0.1,0.35,0.5,0.5,0.575,0.40499999999999997,0.5962121212121212
DyCause+BPMF,0.5,0.5,0.4333333333333333,0.375,0.4,0.4416666666666666,0.39924242424242423
MicroCI4:1,0.3,0.35,0.4666666666666666,0.4,0.575,0.4183333333333333,0.8590909090909091
MicroCI3:1,0.3,0.4,0.4666666666666666,0.5,0.625,0.45833333333333337,0.8696969696969697
MicroCI2:1,0.3,0.4,0.5,0.55,0.7,0.48999999999999994,0.8780303030303032
MicroCI1:1,0.3,0.4,0.5666666666666667,0.55,0.725,0.5083333333333333,0.8803030303030303
MicroCI1:2,0.3,0.4,0.5666666666666667,0.6,0.725,0.5183333333333333,0.8825757575757576
MicroCI1:3,0.2,0.4,0.5666666666666667,0.6,0.7,0.4933333333333333,0.8818181818181818
