,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.45,0.35,0.36666666666666664,0.4,0.5,0.4133333333333333,0.7928030303030302
CloudRanger,0.35,0.325,0.35000000000000003,0.3875,0.4875,0.38,0.7897727272727273
DyCause+linear,0.2,0.275,0.3666666666666666,0.3125,0.375,0.3058333333333333,0.4950757575757576
DyCause+prla,0.25,0.4,0.4166666666666665,0.425,0.5125,0.4008333333333332,0.6761363636363636
DyCause+BPMF,0.2,0.25,0.26666666666666666,0.2625,0.275,0.2508333333333333,0.3079545454545454
MicroCI4:1,0.15,0.225,0.24999999999999994,0.3,0.35,0.25499999999999995,0.6212121212121213
MicroCI3:1,0.15,0.25,0.3166666666666666,0.325,0.375,0.2833333333333333,0.6306818181818181
MicroCI2:1,0.15,0.275,0.38333333333333325,0.3875,0.475,0.3341666666666667,0.6424242424242425
MicroCI1:1,0.15,0.325,0.4833333333333334,0.45,0.525,0.38666666666666666,0.6549242424242424
MicroCI1:2,0.15,0.325,0.5000000000000001,0.45,0.55,0.395,0.6598484848484848
MicroCI1:3,0.15,0.325,0.5000000000000001,0.45,0.5375,0.39249999999999996,0.6606060606060604
