,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.2,0.3,0.26666666666666666,0.2,0.2,0.2333333333333333,0.693939393939394
CloudRanger,0.1,0.2,0.26666666666666666,0.2,0.225,0.19833333333333333,0.6924242424242424
DyCause+linear,0.1,0.25,0.4333333333333333,0.45,0.475,0.3416666666666667,0.49772727272727274
DyCause+prla,0.0,0.05,0.33333333333333337,0.425,0.525,0.26666666666666666,0.5454545454545455
DyCause+BPMF,0.6,0.4,0.26666666666666666,0.225,0.225,0.3433333333333334,0.225
MicroCI4:1,0.1,0.15,0.19999999999999998,0.3,0.35,0.21999999999999997,0.6696969696969697
MicroCI3:1,0.0,0.1,0.19999999999999998,0.325,0.475,0.21999999999999997,0.6772727272727274
MicroCI2:1,0.0,0.1,0.33333333333333337,0.425,0.55,0.2816666666666666,0.684090909090909
MicroCI1:1,0.0,0.15,0.33333333333333337,0.45,0.6,0.30666666666666664,0.6886363636363637
MicroCI1:2,0.0,0.2,0.4,0.475,0.6,0.33499999999999996,0.6893939393939394
MicroCI1:3,0.0,0.2,0.4,0.475,0.6,0.33499999999999996,0.6893939393939394
