,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.3,0.2,0.16666666666666666,0.2,0.25,0.22333333333333333,0.5795454545454546
CloudRanger,0.3,0.2,0.19999999999999998,0.2,0.25,0.22999999999999998,0.5757575757575757
DyCause+linear,0.0,0.25,0.3333333333333333,0.4,0.45,0.2866666666666666,0.49318181818181817
DyCause+prla,0.2,0.4,0.5333333333333333,0.6,0.65,0.47666666666666657,0.7401515151515152
DyCause+BPMF,0.3,0.3,0.2666666666666667,0.25,0.275,0.2783333333333333,0.27424242424242423
MicroCI4:1,0.1,0.15,0.26666666666666666,0.325,0.375,0.24333333333333326,0.7106060606060606
MicroCI3:1,0.1,0.15,0.3,0.425,0.5,0.295,0.7196969696969698
MicroCI2:1,0.0,0.2,0.3666666666666667,0.45,0.575,0.31833333333333336,0.7287878787878788
MicroCI1:1,0.0,0.3,0.4666666666666666,0.525,0.6,0.3783333333333333,0.7348484848484848
MicroCI1:2,0.0,0.3,0.4666666666666666,0.525,0.625,0.38333333333333325,0.7363636363636363
MicroCI1:3,0.0,0.3,0.4666666666666666,0.525,0.625,0.38333333333333325,0.7356060606060606
