,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.6,0.35,0.4333333333333333,0.45,0.575,0.48166666666666663,0.8674242424242424
CloudRanger,0.6,0.4,0.4333333333333333,0.425,0.525,0.4766666666666667,0.8795454545454545
DyCause+linear,0.0,0.25,0.4333333333333333,0.45,0.525,0.3316666666666666,0.5227272727272727
DyCause+prla,0.2,0.35,0.3666666666666667,0.45,0.525,0.3783333333333333,0.5227272727272727
DyCause+BPMF,0.6,0.4,0.3666666666666667,0.3,0.3,0.3933333333333334,0.3
MicroCI4:1,0.3,0.2,0.39999999999999997,0.4,0.5,0.36,0.7477272727272727
MicroCI3:1,0.3,0.2,0.39999999999999997,0.475,0.625,0.39999999999999997,0.7553030303030301
MicroCI2:1,0.3,0.45,0.6,0.55,0.6,0.4999999999999999,0.7606060606060606
MicroCI1:1,0.3,0.5,0.6,0.55,0.675,0.525,0.7636363636363637
MicroCI1:2,0.3,0.5,0.6,0.575,0.675,0.53,0.7651515151515152
MicroCI1:3,0.3,0.55,0.6,0.55,0.675,0.5349999999999999,0.7643939393939394
