,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,1.0,0.85,0.6666666666666667,0.575,0.7,0.7583333333333332,0.9651515151515151
CloudRanger,1.0,0.8,0.6333333333333333,0.525,0.7,0.7316666666666667,0.9621212121212122
DyCause+linear,0.1,0.4,0.4333333333333333,0.4,0.45,0.35666666666666663,0.49393939393939396
DyCause+prla,0.1,0.4,0.5666666666666667,0.6,0.675,0.46833333333333327,0.6962121212121212
DyCause+BPMF,0.4,0.3,0.3,0.25,0.25,0.3,0.25
MicroCI4:1,0.3,0.35,0.4333333333333334,0.45,0.55,0.41666666666666663,0.6848484848484848
MicroCI3:1,0.4,0.45,0.5333333333333333,0.5,0.625,0.5016666666666666,0.6916666666666667
MicroCI2:1,0.4,0.55,0.5666666666666667,0.55,0.7,0.5533333333333333,0.6954545454545454
MicroCI1:1,0.4,0.55,0.5999999999999999,0.625,0.7,0.575,0.6977272727272728
MicroCI1:2,0.4,0.65,0.6333333333333333,0.6,0.675,0.5916666666666666,0.6962121212121212
MicroCI1:3,0.4,0.65,0.6333333333333333,0.6,0.675,0.5916666666666666,0.6962121212121212
