,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.8,0.55,0.4666666666666666,0.475,0.6,0.5783333333333333,0.843939393939394
CloudRanger,0.8,0.45,0.4666666666666666,0.475,0.6,0.5583333333333333,0.843939393939394
DyCause+linear,0.0,0.2,0.3666666666666667,0.425,0.45,0.2883333333333333,0.4712121212121212
DyCause+prla,0.0,0.25,0.39999999999999997,0.45,0.575,0.33499999999999996,0.6409090909090909
DyCause+BPMF,0.6,0.55,0.4666666666666666,0.35,0.35,0.4633333333333334,0.3962121212121212
MicroCI4:1,0.2,0.2,0.33333333333333337,0.375,0.425,0.3066666666666666,0.6984848484848485
MicroCI3:1,0.2,0.3,0.33333333333333337,0.425,0.525,0.35666666666666663,0.7212121212121213
MicroCI2:1,0.3,0.35,0.4,0.475,0.625,0.43,0.7348484848484849
MicroCI1:1,0.3,0.45,0.5333333333333334,0.5,0.65,0.48666666666666664,0.7386363636363636
MicroCI1:2,0.2,0.45,0.5666666666666667,0.575,0.7,0.49833333333333324,0.7424242424242424
MicroCI1:3,0.2,0.45,0.5666666666666667,0.575,0.7,0.49833333333333324,0.7424242424242424
