,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,0.0,0.5,0.3333333333333333,0.5,0.5,0.36666666666666664,0.9090909090909091
1,0.0,0.5,0.3333333333333333,0.5,0.5,0.36666666666666664,0.9090909090909091
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2196969696969697
3,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.6515151515151516
4,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.7196969696969697
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
