,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.9848484848484849
1,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.25
2,0.0,0.5,0.6666666666666666,0.75,0.75,0.5333333333333333,0.9772727272727273
3,1.0,1.0,0.6666666666666666,0.5,0.5,0.7333333333333333,0.5
4,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.8939393939393939
5,0.0,0.0,0.3333333333333333,0.25,0.5,0.21666666666666665,0.9242424242424243
6,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.946969696969697
7,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.9621212121212122
8,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.9621212121212122
9,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.9621212121212122
