,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.1,0.05,0.1,0.15,0.15,0.10999999999999999,0.571969696969697
CloudRanger,0.0,0.1,0.1,0.1,0.1,0.08,0.5704545454545454
DyCause+linear,0.1,0.3,0.4000000000000001,0.425,0.45,0.33499999999999996,0.4962121212121212
DyCause+prla,0.1,0.25,0.4,0.45,0.55,0.3499999999999999,0.5696969696969696
DyCause+BPMF,0.3,0.45,0.4,0.35,0.35,0.36999999999999994,0.3734848484848485
MicroCI4:1,0.1,0.3,0.4,0.45,0.575,0.36499999999999994,0.8121212121212121
MicroCI3:1,0.1,0.25,0.4,0.5,0.625,0.37499999999999994,0.8204545454545455
MicroCI2:1,0.1,0.25,0.4,0.5,0.675,0.38499999999999995,0.8265151515151515
MicroCI1:1,0.1,0.3,0.4333333333333333,0.525,0.7,0.4116666666666665,0.8325757575757576
MicroCI1:2,0.1,0.3,0.4999999999999999,0.525,0.7,0.42499999999999993,0.8333333333333334
MicroCI1:3,0.1,0.3,0.4999999999999999,0.525,0.725,0.4299999999999999,0.834090909090909
