,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.6666666666666666,0.5,0.75,0.6833333333333333,0.9772727272727273
1,1.0,0.5,0.6666666666666666,0.5,0.5,0.6333333333333333,0.9545454545454546
2,0.0,0.0,0.0,0.25,0.25,0.1,0.25
3,0.0,0.0,0.0,0.25,0.25,0.1,0.4772727272727273
4,1.0,0.5,0.6666666666666666,0.5,0.5,0.6333333333333333,0.9393939393939394
5,0.0,0.0,0.0,0.0,0.0,0.0,0.1893939393939394
6,0.0,0.0,0.0,0.0,0.0,0.0,0.1893939393939394
7,0.0,0.0,0.0,0.0,0.0,0.0,0.20454545454545456
8,0.0,0.0,0.0,0.0,0.25,0.05,0.24242424242424243
9,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.25
10,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.25
