,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.25
1,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.4545454545454546
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.5,0.3333333333333333,0.25,0.5,0.5166666666666666,0.49242424242424243
4,1.0,0.5,0.3333333333333333,0.5,0.5,0.5666666666666667,0.5
5,1.0,0.5,0.3333333333333333,0.5,0.5,0.5666666666666667,0.5
6,1.0,0.5,0.6666666666666666,0.5,0.5,0.6333333333333333,0.5
7,1.0,0.5,0.6666666666666666,0.5,0.5,0.6333333333333333,0.5
8,1.0,0.5,0.6666666666666666,0.5,0.5,0.6333333333333333,0.5
